YEARS,ANNUAL GDP GROWTH  RATES(%),AVARAGE ANNUAL EXCHANGE RATES (KSHS vs USD),ANNUAL CPI RATES(%),ANNUAL INTEREST(LENDING) RATES(%),ANNUAL INFLATION RATES (%)
1971,22.17,7.14,0.93,9.00,3.78
1972,17.08,7.14,0.98,9.00,5.83
1973,5.90,7.00,1.07,9.00,9.28
1974,4.07,7.14,1.26,9.50,17.81
1975,0.88,7.34,1.50,10.00,19.12
1976,2.15,8.37,1.68,10.00,11.45
1977,9.45,8.28,1.92,10.00,14.82
1978,6.91,7.73,2.25,10.00,16.93
1979,7.62,7.48,2.43,10.00,7.98
1980,5.59,7.42,2.77,10.58,13.86
1981,3.77,9.05,3.09,12.42,11.60
1982,1.51,10.92,3.73,14.50,20.67
1983,1.31,13.31,4.15,15.83,11.40
1984,1.76,14.41,4.58,14.42,10.28
1985,4.30,16.43,5.17,14.00,13.01
1986,7.18,16.23,5.30,14.00,2.53
1987,5.94,16.45,5.76,14.00,8.64
1988,6.20,17.75,6.47,15.00,12.26
1989,4.69,20.57,7.36,17.25,13.79
1990,4.19,22.91,8.67,18.75,17.78
1991,1.44,27.51,10.41,19.00,20.08
1992,-0.80,32.22,13.26,21.07,27.33
1993,0.35,58.00,19.35,29.99,45.98
1994,2.63,56.05,24.93,36.24,28.81
1995,4.41,51.43,25.31,28.80,1.55
1996,4.15,57.11,27.56,33.79,8.86
1997,0.47,58.73,30.69,30.25,11.36
1998,3.29,60.37,32.75,29.49,6.72
1999,2.31,70.33,34.63,22.38,5.74
2000,0.60,76.18,38.09,22.34,9.98
2001,3.78,78.56,40.27,19.67,5.74
2002,0.55,78.75,41.06,18.45,1.96
2003,2.93,75.94,45.09,16.57,9.82
2004,5.10,79.17,50.34,12.53,11.62
2005,5.91,75.55,55.53,12.88,10.31
2006,6.47,72.10,63.55,13.64,14.45
2007,6.85,67.32,69.75,13.34,9.76
2008,0.23,69.18,88.06,14.02,26.24
2009,3.31,77.35,96.19,14.80,9.23
2010,8.06,79.23,100.00,14.37,3.96
2011,5.12,88.81,114.02,15.05,14.02
2012,4.57,84.53,124.72,19.72,9.38
2013,3.80,86.12,131.85,17.31,5.72
2014,5.02,87.92,140.91,16.51,6.88
2015,4.97,98.18,150.19,16.09,6.58
2016,4.21,101.50,159.65,16.56,6.30
2017,3.84,103.41,172.43,13.67,8.01
2018,5.65,101.30,180.51,13.06,4.69
2019,5.11,101.99,189.97,12.44,5.24
2020,-0.27,106.45,200.23,12.00,5.40
2021,7.59,109.64,212.47,12.08,6.11
2022,4.85,117.87,228.74,12.34,7.66
,,,,,
,,,,,
